year,image_id,day_key,image_path,mask_path,source_index
MY28,MY28_P09_day09,P09_day09,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\mdgm_rgb\P09_day09.png,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\masks_png_all\P09_day09_mask_class.png,0
MY28,MY28_P09_day24,P09_day24,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\mdgm_rgb\P09_day24.png,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\masks_png_all\P09_day24_mask_class.png,1
MY28,MY28_P09_day25,P09_day25,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\mdgm_rgb\P09_day25.png,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\masks_png_all\P09_day25_mask_class.png,2
MY28,MY28_P04_day09,P04_day09,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\mdgm_rgb\P04_day09.png,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\masks_png_all\P04_day09_mask_class.png,3
MY28,MY28_P09_day29,P09_day29,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\mdgm_rgb\P09_day29.png,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\masks_png_all\P09_day29_mask_class.png,4
MY28,MY28_P09_day26,P09_day26,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\mdgm_rgb\P09_day26.png,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\masks_png_all\P09_day26_mask_class.png,5
MY28,MY28_P09_day31,P09_day31,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\mdgm_rgb\P09_day31.png,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\masks_png_all\P09_day31_mask_class.png,6
MY28,MY28_P08_day30,P08_day30,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\mdgm_rgb\P08_day30.png,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\masks_png_all\P08_day30_mask_class.png,7
MY28,MY28_P03_day27,P03_day27,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\mdgm_rgb\P03_day27.png,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\masks_png_all\P03_day27_mask_class.png,8
MY28,MY28_P04_day10,P04_day10,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\mdgm_rgb\P04_day10.png,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\masks_png_all\P04_day10_mask_class.png,9
MY28,MY28_P09_day30,P09_day30,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\mdgm_rgb\P09_day30.png,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\masks_png_all\P09_day30_mask_class.png,10
MY28,MY28_P04_day11,P04_day11,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\mdgm_rgb\P04_day11.png,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\masks_png_all\P04_day11_mask_class.png,11
MY28,MY28_P09_day32,P09_day32,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\mdgm_rgb\P09_day32.png,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\masks_png_all\P09_day32_mask_class.png,12
MY28,MY28_P05_day08,P05_day08,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\mdgm_rgb\P05_day08.png,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\masks_png_all\P05_day08_mask_class.png,13
MY28,MY28_P02_day21,P02_day21,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\mdgm_rgb\P02_day21.png,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\masks_png_all\P02_day21_mask_class.png,14
MY28,MY28_P05_day12,P05_day12,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\mdgm_rgb\P05_day12.png,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\masks_png_all\P05_day12_mask_class.png,15
MY28,MY28_P09_day33,P09_day33,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\mdgm_rgb\P09_day33.png,C:\Users\nicof\Desktop\proy_olga\Comparación de métodos\MY28\masks_png_all\P09_day33_mask_class.png,16
